Quarter,Total_Loans,Charge_Offs,Recoveries,Provision,Allowance,Net_ChargeOffs,Net_CO_Rate,Recovery_Rate,NPL_Ratio
2021-Q1,4024,515,413,3,1,102,0.10139165009940358,0.8019417475728156,
2021-Q2,4024,908,562,3,1,346,0.34393638170974156,0.6189427312775331,
2021-Q3,4024,2489,1119,3,1,1370,1.3618290258449304,0.4495781438328646,
2021-Q4,4024,2878,1258,3,1,1620,1.610337972166998,0.43710910354412785,
2022-Q1,4024,230,782,3,1,-552,-0.5487077534791253,3.4,
2022-Q2,4024,1000,1217,3,1,-217,-0.21570576540755468,1.217,
2022-Q3,4024,1137,1370,3,1,-233,-0.23161033797216699,1.2049252418645557,
2022-Q4,4024,1311,1649,3,1,-338,-0.3359840954274354,1.257818459191457,
2023-Q1,4024,153,592,3,1,-439,-0.4363817097415507,3.869281045751634,
2023-Q2,4024,510,1968,3,1,-1458,-1.4493041749502982,3.8588235294117648,
2023-Q3,4024,772,4481,3,1,-3709,-3.6868787276341948,5.80440414507772,
2023-Q4,4024,1034,5369,3,1,-4335,-4.309145129224652,5.192456479690522,
2024-Q1,4024,176,398,0,1,-222,-0.220675944333996,2.2613636363636362,
2024-Q2,4024,1084,773,0,1,311,0.3091451292246521,0.7130996309963099,
2024-Q3,4024,1200,1152,1050,1,48,0.04771371769383698,0.96,
2024-Q4,4024,1411,1516,1050,1,-105,-0.10437375745526839,1.0744153082919914,
2025-Q1,4024,93,251,0,1,-158,-0.15705765407554673,2.6989247311827955,
2025-Q2,4024,284,676,0,1,-392,-0.38966202783300197,2.380281690140845,
